project,versionId,versionIndex,versionDate,ATDI,ATDI_WEIGHTED,AffectedClassesRatio,AffectedComponentType,AffectedConstructType,AffectedElements,AffectsIndexList,AfferentAffectedRatio,CentralComponent,EfferentAffectedRatio,InstabilityGap,LOCDensity,MeanContTreeDepth,MeanContTreeDistance,NumberOfEdges,PageRankWeighted,PageRankWeightedRanking,Severity,Shape,Size,SmellExtent,SmellExtentByWeight,StDContTreeDepth,StDContTreeDistance,Strength,TotalNumberOfChanges,smellType,vertexId,vertexLabel
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,38.92996215680198,5.678518599015278,0.0,UNIT,ABSTRACTION,"[org.apache.log4j.Appender, org.apache.log4j.Priority, org.apache.log4j.config.Log4j1Configuration, org.apache.log4j.builders.appender.AppenderBuilder, org.apache.log4j.builders.BuilderManager, org.apache.log4j.Level, org.apache.log4j.spi.LoggingEvent, org.apache.log4j.PropertyConfigurator, org.apache.log4j.Layout, org.apache.log4j.helpers.OptionConverter]",36816;47406;15587;28662;16203;15381;23199;16197;15964;22709,0.0,,0.0,0.0,0.0,3.6,1.6222222222222222,22,3.829142816418254E-7,1,5.678518599015278,CIRCLE,10,47,1,0.66332495807108,1.1012899282990103,0.0,0,cyclicDep,169223,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,35.56758281516347,5.623728628129009,0.0,UNIT,ABSTRACTION,"[org.apache.log4j.Priority, org.apache.log4j.config.Log4j1Configuration, org.apache.log4j.builders.layout.LayoutBuilder, org.apache.log4j.builders.BuilderManager, org.apache.log4j.Level, org.apache.log4j.spi.LoggingEvent, org.apache.log4j.PropertyConfigurator, org.apache.log4j.Layout, org.apache.log4j.helpers.OptionConverter]",36825;47406;15587;28662;16203;15381;23199;16197;38069,0.0,,0.0,0.0,0.0,3.6666666666666665,1.8888888888888888,18,3.7927923683138965E-7,1,5.623728628129009,CIRCLE,9,40,1,0.6666666666666666,1.048220125784067,0.0,0,cyclicDep,169237,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,21.456987203301964,4.797928197892629,0.0,UNIT,CONCRETE_CLASS,"[org.apache.log4j.PropertyConfigurator, org.apache.log4j.helpers.OptionConverter]",28662;15567,0.0,,0.0,0.0,0.0,3.5,2.0,2,3.1502654569513717E-7,1,4.797928197892629,TINY,2,20,1,0.5,0.0,0.0,0,cyclicDep,169250,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,10.899316645336125,2.643472575045505,0.0,UNIT,CONCRETE_CLASS,"[org.apache.log4j.Logger, org.apache.log4j.Category]",16104;15474,0.0,,0.0,0.0,0.0,3.0,0.0,2,9.072799639439052E-7,1,2.643472575045505,TINY,2,17,1,0.0,0.0,0.0,0,cyclicDep,169256,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,23.761375117664347,23.761375117664347,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.core.test.junit.LoggerContextSource, org.apache.logging.log4j.core.test.junit.LoggerContextResolver]",21947;21923,0.0,,0.0,0.0,0.0,7.0,4.0,2,4.5612820689471105E-7,1,5.065942196680416,TINY,2,22,22,0.0,0.0,0.0,0,cyclicDep,169262,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,13.792699408991838,13.792699408991838,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.test.junit.DirectoryCleaner, org.apache.logging.log4j.test.junit.CleanUpDirectories]",21548;21581,0.0,,0.0,0.0,0.0,6.0,0.0,2,1.0429657609598728E-7,1,5.21315036349428,TINY,2,7,7,0.0,0.0,0.0,0,cyclicDep,169268,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,17.36050384321253,17.36050384321253,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.test.junit.TempLoggingDirectory, org.apache.logging.log4j.test.junit.TempLoggingDir]",21449;21361,0.0,,0.0,0.0,0.0,6.0,0.0,2,1.973585497595779E-7,1,3.8819266717069567,TINY,2,20,20,0.0,0.0,0.0,0,cyclicDep,169274,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,12.87489423372512,12.87489423372512,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.test.junit.SetTestProperty, org.apache.logging.log4j.test.junit.TestPropertyResolver]",21528;21471,0.0,,0.0,0.0,0.0,6.0,0.0,2,1.9074829334487504E-7,1,3.8819266717069567,TINY,2,11,11,0.0,0.0,0.0,0,cyclicDep,169280,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,10.42630072698856,10.42630072698856,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.core.config.plugins.validation.constraints.ValidHost, org.apache.logging.log4j.core.config.plugins.validation.validators.ValidHostValidator]",8905;24567,0.0,,0.0,0.0,0.0,9.0,1.0,2,5.0673954576868374E-8,1,5.21315036349428,TINY,2,4,4,0.0,0.0,0.0,0,cyclicDep,169286,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,10.42630072698856,10.42630072698856,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.core.config.plugins.validation.constraints.ValidPort, org.apache.logging.log4j.core.config.plugins.validation.validators.ValidPortValidator]",8931;24710,0.0,,0.0,0.0,0.0,9.0,1.0,2,4.9825197674685815E-8,1,5.21315036349428,TINY,2,4,4,0.0,0.0,0.0,0,cyclicDep,169292,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,29.985023462227097,29.985023462227097,0.0,UNIT,ABSTRACTION,"[org.apache.log4j.config.AbstractLog4j1ConfigurationTest, org.apache.log4j.config.PropertiesConfigurationTest]",47674;47818,0.0,,0.0,0.0,0.0,4.0,2.0,2,3.412119371620415E-8,1,4.864213118681738,TINY,2,38,38,0.0,0.0,0.0,0,cyclicDep,169298,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,11.914840140922289,11.914840140922289,0.0,UNIT,CONCRETE_CLASS,"[org.apache.log4j.xml.DOMConfigurator, org.apache.log4j.xml.XMLWatchdog]",37007;36872,0.0,,0.0,0.0,0.0,4.0,2.0,2,3.816430233691793E-8,1,4.864213118681738,TINY,2,6,6,0.0,0.0,0.0,0,cyclicDep,169316,smell
logging-log4j2,4f474b32751f4ccad67424ca585612584440cd63,1,2026-01-22T10:08:42.000,10.42630072698856,10.42630072698856,0.0,UNIT,IMPLEMENTATION,"[org.apache.logging.log4j.test.junit.StatusLoggerLevel, org.apache.logging.log4j.test.junit.StatusLoggerLevelExtension]",21519;21558,0.0,,0.0,0.0,0.0,6.0,0.0,2,7.13377718262362E-8,1,5.21315036349428,TINY,2,4,4,0.0,0.0,0.0,0,cyclicDep,169322,smell
